string,dom_number,pmt_number,dom_x,dom_y,dom_z,dom_time,dom_type,width,rde,pmt_area,pmt_dir_x,pmt_dir_y,pmt_dir_z
1.0,14.0,0.0,-256.1400146484375,-521.0800170898438,274.760009765625,14438.550504218212,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,15.0,0.0,-256.1400146484375,-521.0800170898438,257.739990234375,15530.823857515554,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,16.0,0.0,-256.1400146484375,-521.0800170898438,240.72000122070312,10486.095097783711,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,17.0,0.0,-256.1400146484375,-521.0800170898438,223.6999969482422,23010.39387963351,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,18.0,0.0,-256.1400146484375,-521.0800170898438,206.67999267578125,8116.983805882079,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,19.0,0.0,-256.1400146484375,-521.0800170898438,189.66000366210938,13410.912607401824,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,20.0,0.0,-256.1400146484375,-521.0800170898438,172.63999938964844,8193.06086715512,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,21.0,0.0,-256.1400146484375,-521.0800170898438,155.6199951171875,9664.644293498544,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,22.0,0.0,-256.1400146484375,-521.0800170898438,138.58999633789062,10583.029973230343,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,23.0,0.0,-256.1400146484375,-521.0800170898438,121.56999969482422,16061.209837925102,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,24.0,0.0,-256.1400146484375,-521.0800170898438,104.55000305175781,11379.334502119767,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,25.0,0.0,-256.1400146484375,-521.0800170898438,87.52999877929688,11527.294814740593,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,26.0,0.0,-256.1400146484375,-521.0800170898438,70.51000213623047,5947.870029047244,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,27.0,0.0,-256.1400146484375,-521.0800170898438,53.4900016784668,7837.713914538108,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,28.0,0.0,-256.1400146484375,-521.0800170898438,36.470001220703125,8055.466097035165,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,29.0,0.0,-256.1400146484375,-521.0800170898438,19.450000762939453,9978.296640952807,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,30.0,0.0,-256.1400146484375,-521.0800170898438,2.430000066757202,15329.739206757064,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,31.0,0.0,-256.1400146484375,-521.0800170898438,-14.59000015258789,14192.722215831935,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,32.0,0.0,-256.1400146484375,-521.0800170898438,-31.610000610351562,8913.334462583747,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,33.0,0.0,-256.1400146484375,-521.0800170898438,-48.630001068115234,9009.605484858606,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,34.0,0.0,-256.1400146484375,-521.0800170898438,-65.6500015258789,12802.408990436666,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,35.0,0.0,-256.1400146484375,-521.0800170898438,-82.68000030517578,13772.833722780713,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,36.0,0.0,-256.1400146484375,-521.0800170898438,-99.69999694824219,5994.197841010882,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,37.0,0.0,-256.1400146484375,-521.0800170898438,-116.72000122070312,11317.132035903029,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
1.0,38.0,0.0,-256.1400146484375,-521.0800170898438,-133.74000549316406,8123.994823379467,20.0,6.25,1.0,0.04439999908208847,0.0,0.0,-1.0
